"Overall","names","model"
0.170532749210422,"fit_result","XGBoost"
0.0307716602111721,"Otu00058","XGBoost"
0.0124039587925919,"Otu00002","XGBoost"
0.0115219895811865,"Otu00019","XGBoost"
0.0102653534563932,"Otu00010","XGBoost"
0.00985901761146445,"Otu00012","XGBoost"
0.00941380500388106,"Otu00023","XGBoost"
0.00937004989819599,"Otu00050","XGBoost"
0.00912645882919921,"Otu00110","XGBoost"
0.00862263955450703,"Otu00008","XGBoost"
0.204353720062787,"fit_result","XGBoost"
0.0317316623042921,"Otu00058","XGBoost"
0.0169780363124065,"Otu00008","XGBoost"
0.013752062156944,"Otu00002","XGBoost"
0.00924744437544879,"Otu00015","XGBoost"
0.00864290108698523,"Otu00206","XGBoost"
0.00808278212633954,"Otu00004","XGBoost"
0.00797731500543647,"Otu00477","XGBoost"
0.00753693282877889,"Otu00309","XGBoost"
0.00731086008816338,"Otu00005","XGBoost"
0.170396021810402,"fit_result","XGBoost"
0.0269308864605204,"Otu00058","XGBoost"
0.0171389321188026,"Otu00008","XGBoost"
0.0120764660971541,"Otu00010","XGBoost"
0.0102392242505828,"Otu00822","XGBoost"
0.0100459200943042,"Otu00002","XGBoost"
0.00979418556622669,"Otu00030","XGBoost"
0.00862772101671494,"Otu00155","XGBoost"
0.00853432313252614,"Otu00004","XGBoost"
0.00851060702394576,"Otu00013","XGBoost"
0.213588011228382,"fit_result","XGBoost"
0.020761977269295,"Otu00058","XGBoost"
0.0186869519966599,"Otu00008","XGBoost"
0.0153738020827504,"Otu00012","XGBoost"
0.0114575558176464,"Otu00002","XGBoost"
0.0112552763141911,"Otu00246","XGBoost"
0.0111812549450867,"Otu00010","XGBoost"
0.00909039598206965,"Otu00015","XGBoost"
0.00851007813262473,"Otu00035","XGBoost"
0.00797357965541444,"Otu00005","XGBoost"
0.233443903194016,"fit_result","XGBoost"
0.0403666739492884,"Otu00058","XGBoost"
0.0173404812206402,"Otu00012","XGBoost"
0.0159708810224997,"Otu00015","XGBoost"
0.0134818237679483,"Otu00309","XGBoost"
0.0111891349213783,"Otu00023","XGBoost"
0.0106241101574398,"Otu00155","XGBoost"
0.0104695188529234,"Otu00367","XGBoost"
0.0102088264804674,"Otu00115","XGBoost"
0.00916614034716309,"Otu00009","XGBoost"
0.200455993903161,"fit_result","XGBoost"
0.0220550642956468,"Otu00058","XGBoost"
0.0156220801681517,"Otu00008","XGBoost"
0.0152188863436966,"Otu00012","XGBoost"
0.0142567049909005,"Otu00002","XGBoost"
0.0105452231404062,"Otu00128","XGBoost"
0.00997622285879109,"Otu00279","XGBoost"
0.00898052804833453,"Otu00004","XGBoost"
0.00876189022988317,"Otu00010","XGBoost"
0.00860902579519058,"Otu00023","XGBoost"
0.202622309978217,"fit_result","XGBoost"
0.0168343386970863,"Otu00008","XGBoost"
0.0160098887680243,"Otu00058","XGBoost"
0.012069157705982,"Otu00110","XGBoost"
0.0119661890659872,"Otu00004","XGBoost"
0.0117663888041229,"Otu00002","XGBoost"
0.0110869050457011,"Otu00246","XGBoost"
0.0092850530300899,"Otu00003","XGBoost"
0.00865429369618569,"Otu00005","XGBoost"
0.00858395101829819,"Otu00009","XGBoost"
0.197507567101144,"fit_result","XGBoost"
0.0318460163659652,"Otu00058","XGBoost"
0.017128016240546,"Otu00002","XGBoost"
0.0145601204500751,"Otu00008","XGBoost"
0.00911478429393001,"Otu00019","XGBoost"
0.00857589277349998,"Otu00012","XGBoost"
